Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
16:37.0,43.778111, N,70.095306, W,3.65,69.77,1,26.06,23.5,26.06,23.5
16:42.0,43.778114, N,70.095253, W,2.83,69.77,1,26.13,23.5,26.06,23.5
16:47.0,43.778118, N,70.095215, W,2.38,69.77,1,26.13,23.5,26.06,23.5
16:52.0,43.778122, N,70.095177, W,2.02,69.77,1,26.31,23.5,26.13,23.5
16:57.0,43.778126, N,70.095146, W,1.93,69.77,1,26.31,23.5,26.13,23.5
17:02.0,43.778126, N,70.095139, W,0,69.77,1,26.38,23.75,26.19,23.5
17:08.0,43.778133, N,70.095123, W,1.24,69.77,1,26.38,23.5,26.19,23.75
17:13.0,43.778133, N,70.095116, W,0,69.77,1,26.38,23.5,26.25,23.75
17:18.0,43.778133, N,70.095108, W,0,69.77,1,26.38,23.5,26.25,23.5
17:23.0,43.778133, N,70.095108, W,0,69.77,1,26.38,23.5,26.25,23.5
17:28.0,43.778137, N,70.095108, W,0,69.77,1,26.38,23.5,26.25,23.5
17:33.0,43.778137, N,70.095108, W,0,69.77,1,26.38,23.5,26.25,23.75
17:38.0,43.778137, N,70.0951, W,0,69.77,1,26.38,23.5,26.25,23.25
17:44.0,43.778141, N,70.0951, W,0,69.77,1,26.38,23.75,26.25,23.5
17:49.0,43.778168, N,70.09507, W,3.7,61.69,1,26.38,23.5,26.25,23.5
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
18:01.0,43.778297, N,70.094566, W,12.46,80.72,1,26,23.75,26.13,23.75
18:06.0,43.778339, N,70.094345, W,12.67,76.72,1,26,23.75,25.94,23.75
18:11.0,43.7784, N,70.094101, W,15.5,64.01,1,26,23.75,25.81,23.75
18:16.0,43.778545, N,70.093796, W,23.13,52.13,1,25.88,23.75,25.63,23.75
18:22.0,43.778774, N,70.093361, W,27.02,56.28,1,25.81,23.75,25.38,23.75
18:27.0,43.778976, N,70.092934, W,29.55,59.38,1,25.69,23.75,25.19,23.5
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
03:58.0,43.824886, N,70.037827, W,1.8,0,1,24.75,25.25,25,25.5
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
